Avg of 3 Human Tox	ADnTPDvsCtrl.Group1	ADnTPDvsCtrl.Group2
1	0	0
2	0	0
3	0	0
4	2.16469203943445	0.536081426338415
5	6.73375665111291	1.98611826133029
6	26.6796064157675	4.9117695771266
7	171.82352516889	66.9828836433848
8	57.8044036171488	300.458345748875
9	82.2468562577138	39.2638792843857
10	476.6766161802	102.487478011438
11	234.040970691809	451.575205394484
12	4.26727016149733	5.37093270900707
13	28.3903823892715	14.8015113260928
14	10.8841821947668	6.75503935938987
15	40.9389027816968	32.6317568347585
16	42.527384543709	43.3972442399376
17	138.064394094957	66.1241228176496
18	86.3077784418651	144.133427382126
19	15.4759205916344	65.7703539361297
20	284.932698350459	159.644021950407
21	12.0422233972212	14.2662888065877
22	90.9003547153127	211.841950209878
23	30.3151322383631	21.8135970198981
24	170.568639535155	105.809880500946
25	2177.0636942673	5150.77802021396
26	186.010601462856	76.2044018954491
27	46.226657548627	26.1455263464128
28	79.1894768664546	43.5688683123705
29	27.6063101185133	96.2648409669819
30	71.823785765376	37.1178393152831
31	228.963275512074	764.986001785258
32	34.0742293078707	76.1389727485692
33	33.0772406746266	45.8122307289364
34	45.9556960790969	81.9018100372534
35	40.4939486210909	39.7985394687743
36	90.6860622569318	74.679528950608
37	23.0992544204604	26.8497956963673
38	1181.89724918926	564.721762356692
39	57.4864467172878	112.000800328943
40	638.319681336378	202.378096425895
41	52.9961498679667	45.0913442010764
42	385.423113209549	366.022522732189
43	371.834779640479	135.406556678213
44	111.850557015778	64.1492040639302
45	4.77250380919803	2.83529713957464
46	125.942105488831	347.532207972441
47	132.786894057966	69.7727221541184
48	117.900152620195	176.368066412199
49	140.843761960423	62.253687431533
50	442.95519280324	1567.24004014333
51	169.072402566281	92.1607672612047
52	767.23983054119	3314.08448982581
53	59.2766782608176	97.8684393453083
54	350.090512577089	489.878655129856
55	96.6985395679593	47.0814528615087
56	137.019224247697	114.115121284534
57	4344.27720659291	7108.39213948006
58	2985.71435812963	1255.02078603833
59	759.130553054962	335.018830051796
60	179.209740576055	156.200900598735
61	153.742856776479	164.001204602177
62	454.708393184683	983.844776452058
63	14634.2059668692	26636.8009981547
64	66.4009724230347	36.8309985376679
65	228.061617493694	131.710539462113
66	435.211102760962	1038.77068218864
67	2438.86943059672	1358.86144179771
68	1136.08714569989	754.285636762287
69	509.520769467165	989.974006314095
70	229.240252898156	329.23417099319
71	462.091421487727	588.224079514251
72	481.035227944039	328.659836799301
73	1188.37318794163	384.21006588788
74	486.56799094699	345.334640731895
75	319.961006213049	211.122594287327
76	266.495838047343	239.042931146848
77	1901.98091922952	2040.9452287242
78	5328.22166668885	2202.91892323311
79	348.742122325589	311.288982027498
80	602.57020981756	327.64432250661
81	634.374763527079	272.576443198452
82	449.407252210053	225.419128260735
83	4673.44685569048	8177.12152107907
84	872.069305268785	770.759373101728
85	338.418842883047	149.596724356578
86	298.762100094464	284.889372608932
87	490.83753219107	407.598275208497
88	484.788938278822	490.85574927763
89	306.78725883013	876.928049179036
90	339.626727175185	295.717748353873
91	1248.21583550475	1064.08722635528
92	80.897494770057	43.5752624528741
93	570.007281803707	927.198035345032
94	301.882743578677	162.904022164439
95	147.640104738791	335.473742071727
96	9365.05065660521	4186.07616818507
97	29.5419203325927	37.5743112885458
98	86.2120412138209	203.735731643518
99	17.5056774669601	8.63863374908245
100	10.3084466067007	7.47399268852493
101	7.69266273456878	8.17552409167516
102	278.3162916577	474.89400503864
103	6.5037344508379	24.7878069522641
104	5.76483062425741	8.07481294245471
105	2.02428688692525	0.467481510581377
106	0	0
107	0	0
108	0	0
109	3.98626286320355	16.4355271797155
110	249.879053230959	201.596489472302
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
