DicerKO.avg.sRNA	DroshaKO.avg.sRNA	Wildtype.avg.sRNA
52.4	25.8	65.6
52.4	25.8	65.6
52.4	25.8	66.9
52.4	25.8	66.9
52.4	25.8	66.9
52.4	25.8	66.9
52.4	25.8	66.9
52.4	25.8	66.9
52.4	25.8	66.9
52.4	25.8	66.9
53	25.8	66.9
53.1	25.8	66.9
53.1	25.8	66.9
53.1	25.8	66.9
53.1	25.8	66.9
53.1	25.8	66.9
53.1	25.8	66.9
53.1	25.8	66.9
53.1	25.8	66.9
53.1	25.8	66.9
53.1	25.8	66.9
55.2	25.8	66.9
55.3	25.8	66.9
56	25.8	66.9
56	25.8	66.9
56.6	25.8	66.9
57.6	25.8	66.9
58.8	25.8	66.9
61	25.8	66.9
61	25.8	67.2
61	25.8	67.2
61	25.8	67.2
61	25.8	67.2
61.2	25.8	67.2
61.3	25.8	67.2
61.3	25.8	67.2
61.3	25.8	67.3
61.7	27.2	67.3
61.7	28.2	67.6
61.7	28.2	67.6
61.7	28.2	67.6
61.7	28.2	67.6
61.7	28.2	67.7
61.7	28.2	67.7
61.7	28.2	67.7
61.7	28.2	67.7
61.7	30.3	67.7
61.7	30.3	67.7
61.7	30.3	67.7
61.7	30.3	67.7
61.7	30.3	67.7
61.7	30.3	67.7
61.7	30.6	67.7
61.7	30.6	67.7
61.7	30.6	67.7
61.7	30.6	67.9
61.7	30.6	68
61.7	30.6	68
61.7	30.6	68
61.7	31	68
61.7	31	68
61.7	31	68
61.7	31	68
61.7	31	68
61.7	31	68
61.7	31	68
61.7	31	68
61.7	31.8	68
61.7	31.8	68
61.7	33.9	68
61.7	35.7	68
61.7	35.8	68
61.7	36.1	68.1
61.7	36.2	68.3
61.7	36.8	68.3
61.7	37.2	68.3
61.7	37.2	68.3
61.7	37.9	68.3
61.7	37.9	68.3
61.7	37.9	68.3
61.7	37.9	68.3
61.7	37.9	68.3
61.7	37.9	68.3
61.7	37.9	68.3
61.7	37.9	68.3
61.7	38.7	68.3
61.7	39.2	68.3
61.7	39.5	68.3
61.7	39.7	68.3
61.7	39.7	68.3
61.7	39.7	68.3
61.7	39.7	68.3
61.7	39.7	68.3
61.7	39.7	68.3
61.7	39.7	68.3
61.7	39.7	68.3
61.7	39.7	68.3
61.7	39.7	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.3	68.3
61.7	41.6	68.3
61.7	42.1	68.3
61.7	42.8	68.3
61.7	43.8	68.3
61.7	43.8	68.3
61.7	43.8	68.3
61.7	43.8	68.3
61.7	44.4	68.3
61.7	44.6	68.3
61.7	44.6	68.3
61.7	44.8	68.3
61.7	44.8	68.3
61.7	46.2	68.3
61.7	46.3	68.3
61.8	46.5	68.3
61.9	47.3	68.3
61.9	48.6	68.3
62.1	48.6	68.3
63	48.6	68.3
63	48.6	68.3
63.1	48.6	68.3
63.5	48.6	68.3
64.9	48.6	68.3
65	48.6	68.3
65	48.6	68.3
65	49.2	68.3
65.2	49.2	68.3
65.3	49.2	68.3
65.3	49.2	68.3
65.3	49.2	68.3
65.3	49.2	68.3
65.3	49.2	68.3
65.3	49.2	68.3
65.3	49.2	68.3
65.3	49.2	68.3
65.3	49.2	69.2
65.3	49.2	69.2
65.3	49.2	70.8
65.3	49.2	71.2
65.3	49.2	71.8
65.3	49.2	71.9
65.5	49.2	72.3
65.5	49.2	72.4
65.5	49.2	72.4
65.5	49.2	72.4
65.6	49.2	72.4
65.9	49.2	72.4
66.9	49.2	72.4
67.5	49.2	72.4
67.5	49.2	72.4
67.5	49.2	72.4
67.5	49.2	72.4
67.5	49.2	72.4
67.5	49.2	72.4
67.6	49.2	72.4
67.6	49.2	72.4
67.6	49.2	72.4
67.6	49.2	72.4
67.6	49.2	72.4
67.6	49.2	72.4
67.6	49.2	72.4
67.6	49.2	72.4
67.6	49.2	72.4
67.6	49.2	72.4
67.6	49.2	72.4
67.6	49.2	72.4
67.6	49.2	72.4
67.6	49.2	72.4
67.6	49.2	72.4
67.6	49.2	72.4
67.6	49.2	72.4
67.6	49.2	72.4
67.6	50.3	72.4
67.6	52.4	72.4
67.6	52.4	72.4
67.6	52.4	72.4
68	52.4	72.4
68.1	52.4	72.4
68.1	52.4	72.4
68.1	52.6	72.4
68.1	53	72.4
68.1	53.1	72.4
68.1	53.1	72.4
68.1	53.1	72.4
68.1	53.1	72.4
68.1	53.1	72.4
68.1	54.4	72.4
68.1	54.5	72.4
68.2	54.5	72.4
68.3	54.5	72.4
68.3	54.5	72.4
68.9	54.5	72.4
68.9	55.1	72.4
69.6	55.1	72.4
69.6	55.1	72.4
69.6	55.1	72.4
69.6	55.1	72.4
70.5	55.1	72.4
70.8	55.1	72.4
70.8	55.1	72.4
70.8	55.1	72.4
70.8	55.1	72.4
70.8	55.1	72.4
70.8	55.1	72.4
70.8	55.1	72.4
70.8	55.1	72.4
70.8	55.1	72.4
70.8	55.1	72.4
70.8	55.1	72.4
70.8	55.1	72.4
70.8	55.1	72.4
70.8	55.1	72.4
70.8	55.1	72.4
70.8	55.1	72.4
70.8	55.1	72.4
70.8	55.1	72.4
70.8	55.1	72.4
70.8	55.1	72.6
70.8	55.1	72.6
70.8	55.1	72.8
70.8	55.1	72.8
70.8	55.1	72.8
70.8	55.1	72.8
70.8	55.1	72.8
70.8	55.1	72.8
70.8	55.1	72.8
70.8	55.1	72.8
70.8	55.1	72.8
70.8	55.1	72.8
70.8	55.1	72.8
70.8	55.1	72.8
70.8	55.1	72.8
70.8	55.1	72.8
70.8	55.1	74
70.8	55.1	74.5
70.8	55.1	74.6
70.8	55.1	74.6
70.8	55.1	74.6
70.8	55.1	74.6
70.8	55.1	74.6
70.8	55.1	74.6
70.8	55.1	76.4
70.8	55.1	76.9
70.8	55.1	76.9
70.8	55.1	76.9
70.8	55.1	76.9
70.8	55.1	76.9
70.8	55.1	77
70.8	55.1	77.2
70.8	55.1	78.3
70.8	55.1	78.3
70.8	55.1	78.3
70.8	55.2	78.3
70.8	55.2	78.3
70.8	55.2	78.3
70.8	55.3	78.3
70.8	56	78.3
70.8	56.2	78.3
70.8	56.3	78.3
70.8	56.9	78.3
70.8	56.9	78.3
70.8	57.6	78.3
70.8	58	78.3
70.8	58	78.3
70.8	58.8	78.3
70.8	59.3	78.3
70.8	61	78.3
70.8	61	78.3
70.8	61	78.3
70.8	61	78.3
70.8	61	78.3
70.8	61	78.3
71.2	61	78.3
71.4	61	78.3
72.4	61	78.3
72.4	61	78.3
72.4	61.3	78.3
72.4	61.3	78.3
72.4	61.4	78.7
72.6	61.7	80.2
72.6	61.7	80.2
72.8	61.7	80.2
73	61.7	80.2
73	61.7	80.2
73.3	61.7	80.2
73.3	61.7	80.2
73.7	61.7	80.2
73.7	61.7	80.2
73.7	61.7	80.2
74.5	61.7	80.2
74.6	61.7	80.2
74.6	61.7	80.2
74.6	61.7	80.2
74.6	61.7	80.2
74.6	61.7	80.2
74.6	61.7	80.2
74.6	61.7	80.2
74.6	61.7	80.2
74.6	61.7	80.2
74.6	61.7	80.2
74.6	61.7	80.2
74.6	61.7	80.2
74.6	61.7	80.2
75.9	61.7	80.2
76.4	61.7	80.2
76.4	61.7	80.2
76.4	61.7	80.3
76.4	61.7	80.5
76.4	61.7	80.5
76.4	61.7	80.5
76.4	61.7	80.5
76.6	61.7	81.1
76.6	61.7	81.3
76.6	61.7	81.4
76.6	61.7	81.4
77.2	61.7	81.4
77.7	61.7	81.4
77.8	61.7	81.4
78.3	61.7	81.4
78.3	61.7	81.4
78.3	61.7	81.4
78.3	61.7	81.4
78.3	61.7	81.4
78.3	61.7	81.4
78.4	61.7	81.4
78.4	61.7	81.4
78.5	61.7	81.4
78.5	61.8	81.4
78.6	61.9	81.4
78.8	61.9	81.4
79.5	62.1	81.4
79.5	62.1	81.4
79.5	62.1	81.4
79.5	62.5	81.4
80.2	62.5	81.4
80.3	63	81.4
80.3	63.5	81.4
80.3	63.5	82
80.3	63.9	82.5
80.3	64.9	82.5
80.3	64.9	82.6
80.3	64.9	82.6
80.3	65	82.6
80.3	65.2	82.6
80.3	65.3	82.6
80.3	65.3	82.6
80.3	65.3	82.6
80.3	65.3	82.6
80.3	65.3	82.6
80.3	65.3	82.6
80.3	65.3	82.6
80.3	65.3	82.6
80.3	65.3	82.8
80.3	65.3	82.8
80.3	65.3	82.8
80.3	65.3	82.8
80.3	65.5	82.8
80.3	65.5	83.1
80.3	65.5	84.1
80.3	66	84.1
80.3	66.2	84.2
80.3	66.4	84.2
80.3	66.4	84.2
80.3	66.4	84.2
80.3	66.4	84.2
80.3	67.6	84.2
80.3	67.6	84.2
80.3	67.6	84.2
80.3	67.6	84.2
80.3	67.6	84.2
81.1	67.6	84.2
81.1	67.6	84.2
81.2	67.6	84.2
81.2	67.6	84.2
81.2	67.6	84.2
81.3	67.6	84.2
81.3	67.6	84.2
81.3	67.6	84.2
81.3	67.6	84.2
81.3	67.6	84.2
81.3	67.6	84.2
81.3	67.6	84.2
81.3	67.6	84.2
81.3	67.6	84.2
81.3	67.6	84.2
81.3	67.6	84.2
81.3	68.1	84.2
81.3	68.1	84.2
81.3	68.1	84.2
81.3	68.1	84.2
81.3	68.1	84.2
81.3	68.1	84.2
81.3	68.1	84.2
81.3	68.1	84.2
81.3	68.1	84.2
81.3	68.1	84.2
81.3	68.2	84.2
81.3	68.3	84.2
81.3	68.9	84.2
81.3	69.6	84.2
81.3	69.6	84.2
81.3	69.8	84.2
81.3	69.8	84.2
81.3	70.5	84.2
81.3	70.5	84.2
81.4	70.8	84.2
81.5	70.8	84.2
81.7	70.8	84.2
81.7	70.8	84.2
81.7	70.8	84.2
81.7	70.8	84.2
81.7	70.8	84.2
81.7	70.8	84.2
81.7	70.8	84.2
82	70.8	84.2
82.5	70.8	84.2
82.6	70.8	84.2
82.6	70.8	84.2
82.6	70.8	84.2
82.7	70.8	84.2
82.7	70.8	84.2
82.7	70.8	84.2
82.8	70.8	84.2
82.8	70.8	84.2
82.8	70.8	84.2
82.8	70.8	84.2
83.1	70.8	84.2
84	70.8	84.2
84.1	70.8	84.2
84.2	71.2	84.2
84.2	72.2	84.2
84.2	72.2	84.2
84.2	72.2	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.3	84.2
84.2	72.4	84.2
84.2	72.4	84.2
84.2	72.6	84.2
84.2	72.6	84.2
84.2	72.8	84.2
84.2	73	84.2
84.2	73	84.2
84.2	73.7	84.2
84.2	73.7	84.2
84.2	74.5	84.2
84.2	74.5	84.2
84.2	74.8	84.2
84.2	74.9	84.2
84.2	75.4	84.2
84.2	76.4	84.2
84.2	76.4	84.2
84.2	76.4	84.2
84.2	76.4	84.2
84.2	76.4	84.2
84.2	76.4	84.2
84.2	76.4	84.2
84.2	76.6	84.2
84.2	76.6	84.2
84.2	76.6	84.2
84.2	76.6	84.2
84.2	76.9	84.2
84.2	76.9	84.2
84.2	76.9	84.2
84.2	76.9	84.2
84.2	76.9	84.2
84.2	76.9	84.2
84.2	76.9	84.2
84.2	77.8	84.2
84.2	77.8	84.2
84.2	78.1	84.2
84.2	78.4	84.2
84.2	78.5	84.2
84.2	78.6	84.2
84.2	79.3	84.2
84.2	79.5	84.2
84.2	79.5	84.2
84.2	79.5	84.2
84.2	79.5	84.2
84.2	79.5	84.2
84.2	79.9	84.2
84.2	80.3	84.2
84.2	80.3	84.2
84.2	80.3	84.2
84.2	80.3	84.2
84.2	80.3	84.2
84.2	80.3	84.2
84.2	80.3	84.2
84.2	80.3	84.2
84.2	80.3	84.2
84.2	80.3	84.2
84.2	80.3	84.2
84.2	80.3	84.2
84.2	80.3	84.2
84.2	80.3	84.2
84.2	80.3	84.2
84.2	80.3	84.2
84.2	80.3	84.2
84.2	80.3	84.2
84.2	81.2	84.2
84.2	81.3	84.2
84.2	81.3	84.2
84.2	81.3	84.2
84.2	81.3	84.2
84.2	81.3	84.2
84.2	81.3	84.2
84.2	81.3	84.2
84.2	81.3	84.2
84.2	81.3	84.2
84.2	81.3	84.2
84.2	81.3	84.2
84.2	81.3	84.2
84.2	81.3	84.2
84.2	81.3	84.2
84.2	81.3	84.2
84.2	81.5	84.2
84.2	81.7	84.2
84.2	81.7	84.2
