Avg of 3 Human Tox	ADnTPDvsCtrl.Group1	ADnTPDvsCtrl.Group2
1	0	0
2	0	0
3	0	0
4	0	0
5	0.933029022710695	0.0406177000464484
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0.885185232811612	0.1198896004187
13	0	0
14	0	0
15	2.80059802686964	3.08269947327815
16	4.88382829790326	0.634914352951652
17	0	0
18	2.14235049170646	0.314532113646956
19	4.8449598542671	54.6250341713424
20	0.373204299944047	24.1048446566035
21	2.59444576471269	0.27250406647937
22	0	0
23	0	0
24	0	0
25	103.622124383917	1755.85742925205
26	0	0.695663360284146
27	6.31787501440703	0.396421911435034
28	0.209432766625135	7.50116585161773
29	2.66414889806049	0.318821417036591
30	0	0
31	0.128221290919607	5.27451841093594
32	2.07364909661518	14.7698332136443
33	1.36212826970565	18.5311503299156
34	2.51769277650643	22.1092203654156
35	0	0
36	0	0
37	0	1.38987446962444
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	35.370634870561	4.1467735747294
45	0	0
46	21.4804586370565	32.6152021936632
47	0	0
48	0.218894204967107	13.5019439183977
49	0.100237887897265	3.2461940661155
50	3.38441511787734	18.9669923773667
51	0	0
52	83.389840531474	2854.87366192813
53	0	0
54	2.56275420710242	205.049601874296
55	0	0
56	4.16843355572842	11.932646472207
57	0.576749775797653	7.1324709325965
58	462.727670728979	101.964761802918
59	0.127417914877568	3.88802930610434
60	1.51974586872017	0.0858871853915112
61	1.05470135829214	0.0759439953025055
62	1.18809407548195	20.1083896033659
63	441.906427830388	468.042157271436
64	5.10175992134602	0.429967598355254
65	2.11987681580574	0.366767305755636
66	74.7235304033814	638.919331807896
67	0.14766624266724	1.15226127550917
68	0	0
69	1.6494287077912	0.0694741387697985
70	0.0899523221666637	2.52610092457002
71	46.9623903612964	12.5341123707809
72	10.833875705324	82.3549908158418
73	144.698562127847	19.1855155855775
74	127.508842113112	17.1905972703129
75	1.53333295082064	16.8147141787933
76	0.100488982277206	4.22500523729524
77	2.02732461003576	14.0972451396469
78	1107.06474722587	278.329613867459
79	3.12452476089312	85.8214678755342
80	20.0075032900805	25.0044388933945
81	0.492688122119028	7.09811694662378
82	2.3429401642137	24.536201960495
83	80.0880386727761	809.57401461844
84	0.548389594504554	16.4398846644444
85	0.842578406158792	0.0593563015655494
86	0.139761445503324	8.67337052331919
87	11.7778160857632	1.85701132766131
88	0	0
89	2.51162504260115	68.3764744763237
90	0	0
91	2.15442270873633	0.30652490287769
92	0	0
93	13.4941597898992	57.237039616513
94	0	0
95	2.7476353048285	30.1897417588653
96	0	0
97	1.54581632185036	0
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
