Avg of 3 Human Tox	AD.1.SRR1658350	AD.2.SRR1658353	AD.3.SRR1658349	AD.4.SRR1658351	AD.5.SRR1658348	AD.6.SRR1658347	Control.10.SRR1658359	Control.11.SRR1658360	Control.12.SRR1658357	Control.13.SRR1658356	Control.14.SRR1658345	Control.15.SRR1658355	Control.16.SRR1658346	TPD.7.SRR1658354	TPD.8.SRR1658352	TPD.9.SRR1658358
81	5124.823	3485.941	3634.856	3102.711	2875.709	3757.77	6704.84	3897.528	3483.503	7093.236	4555.783	3680.931	3625.274	3553.951	5043.674	3823.317
82	2923.75	3192.191	3549.151	3130.379	3032.046	3403.641	4279.041	3362.941	3294.738	3074.325	3784.613	3640.6	3342.476	3881.547	3710.005	3490.73
83	52953.654	30805.559	54910.685	43124.633	32954.108	48660.968	23610.643	31145.483	28805.696	32335.286	49490.85	32397.335	30696.977	36208.659	54397.008	24024.976
84	10295.55	7471.625	35005.906	10883.323	7915.352	16725.312	12576.154	10610.03	9981.202	16068.462	11287.908	10239.061	9393.796	11671.029	13609.338	8199.696
85	1553.696	1856.195	1656.669	1776.858	1326.291	1917.835	2035.576	1792.324	2141.326	2028.186	1512.11	1522.481	2048.178	1807.002	1655.712	1487.648
86	4242.73	3019.912	3705.442	3534.76	2859.557	3541.391	2631.33	2803.286	4304.549	2587.215	2997.191	3274.235	2561.928	2237.466	3794.248	3584.869
87	3746.238	4091.535	5138.937	3971.419	2570.557	3997.127	3911.639	3235.71	4216.318	3046.947	3973.559	4380.027	3371.527	4425.784	3639.904	4199.194
88	5400.942	4733.071	4935.256	3047.383	2155.676	3472.373	5667.396	5974.379	5922.266	5956.292	3453.904	4986.51	2723.553	6289.909	4185.905	4244.968
89	8272.287	7460.597	5699.875	9787.748	12339.558	7921.359	6529.078	7443.328	10847.129	4586.097	5060.446	7788.294	6247.505	6820.895	4904.139	10962.884
90	5355.943	6011.438	5480.701	5151.095	6168.493	5821.509	8347.838	5361.285	6086.402	6712.288	5006.175	4182.01	7927.203	4833.604	4856.436	4456.715
91	3769.374	3144.969	3107.623	3219.523	2411.65	3218.566	4903.82	4577.425	3969.8	4265.042	3323.683	4043.223	2905.955	5174.105	3444.343	3230.344
92	359.506	547.587	304.052	341.283	220.193	462.692	646.609	580.931	525.616	430.54	497.184	515.401	284.454	545.527	391.411	687.26
93	1279.912	482.141	863.255	1515.41	1214.725	1070.816	724.751	511.623	672.323	428.5	888.748	646.902	955.229	521.13	880.371	978.463
94	2489.774	1538.894	3024.863	1691.727	1378.766	2306.148	1507.67	1960.4	1572.006	1687.815	2731.479	1982.806	1470.261	2155.826	1975.587	1275.761
95	3365.113	1825.581	2793.518	4220.487	3300.858	2799.5	1836.372	2232.539	2646.596	1494.386	2588.204	2373.573	1847.938	3169.586	2546.316	1698.078
96	7489.059	4062.654	5229.554	4099.753	6803.566	4682.514	10135.839	10427.567	6857.532	10197.504	4015.576	5955.458	19266.578	3855.271	4267.718	6152.449
97	358.617	175.01	465.862	338.379	452.862	376.637	225.502	111.253	210.573	272.429	834.902	472.528	279.675	158.345	353.856	820.572
98	4947.951	4170.239	5215.12	6111.673	7862.324	7696.177	6681.4	3908.318	4831.622	2735.558	4421.455	3620.009	11866.725	5186.189	5399.737	5410.828
99	242.49	220.498	34.464	154.204	125.876	147.191	116.967	134.022	104.922	47.014	117.274	221.396	123.195	159.869	87.422	108.368
100	421.39	188.89	361.338	270.243	396.347	274.93	346.807	310.788	428.265	325.669	336.666	317.815	524.594	414.744	498.778	401.041
101	2490.537	1898.708	995.514	1537.953	2169.255	2203.14	3232.91	1921.25	1771.905	1606.232	2268.548	2722.061	1750.121	5295.503	1917.314	4005.641
102	12086.045	5761.81	7564.765	7882.217	7962.877	6369.794	8738.683	6427.174	7019.751	6486.659	13599.719	7018.372	6191.797	4575.452	10230.512	6250.548
103	56.135	12.642	7.18	98.449	29.176	109.027	24.311	14.78	18.977	19.214	0	10.422	18.387	22.168	18.733	22.598
104	72.255	94.322	74.293	108.097	48.258	143.115	128.627	119.342	157.109	99.075	103.235	159.882	119.518	115.767	116.502	175.869
105	360.009	280.859	311.457	882.025	399.831	435.274	143.264	624.97	569.954	342.2	509.139	472.699	304.313	463.889	534.082	582.559
109	60.749	0	30.08	0	13.579	0	0	0	0	0	0	0	0	0	0	0
110	1252.726	220.745	127.046	18.186	225.146	137.002	197.219	223.504	359.475	159.078	356.168	489.135	430.631	400.668	52.648	169.851
