DicerKO.avg.miRNA	DroshaKO.avg.miRNA	Wildtype.avg.miRNA
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	66.9
74.6	55.1	67.2
74.6	55.1	67.2
74.6	55.1	67.2
74.6	55.1	67.2
76.9	55.1	67.2
76.9	55.1	67.2
77.4	55.1	67.2
78.2	55.1	67.3
78.3	55.1	67.3
78.3	55.1	67.6
78.3	55.1	67.6
78.3	55.1	67.6
78.3	55.1	67.7
78.3	55.1	67.7
78.3	55.1	67.7
78.3	55.1	67.7
78.3	55.1	67.7
78.3	55.1	67.7
78.3	55.1	67.7
78.3	55.1	67.7
78.3	55.1	67.7
78.3	55.1	67.7
78.3	55.1	67.7
78.3	55.1	67.7
78.3	55.1	67.7
78.3	55.1	67.7
78.3	55.1	67.9
78.3	55.1	68
78.3	55.1	68
78.3	55.1	68
78.3	55.1	68
78.3	55.1	68
78.3	55.1	68
78.3	55.1	68
80.2	55.1	68
80.2	55.1	68
80.2	55.1	68
80.2	55.1	68
80.2	55.1	68
80.5	55.1	68
81.1	55.1	68
81.1	55.1	68
81.1	55.1	68
81.1	55.1	68.3
81.1	55.1	68.3
81.1	55.1	68.3
81.1	55.1	68.3
81.1	55.1	68.3
81.4	55.1	68.3
81.4	55.1	68.3
81.4	55.1	68.3
81.4	55.1	68.3
82	55.1	68.3
82	55.1	68.3
82.5	55.1	68.3
82.5	55.1	68.3
82.5	55.1	68.3
82.6	55.1	68.3
82.6	55.1	68.3
82.6	55.1	68.3
82.6	55.1	68.3
82.6	55.1	68.3
82.6	55.1	68.3
82.6	55.1	68.3
82.6	55.1	68.3
82.6	55.1	68.3
82.6	55.1	68.3
82.6	55.1	68.3
82.8	55.1	68.3
82.8	55.1	68.3
82.8	55.1	68.3
82.8	55.1	68.3
82.8	55.1	68.3
82.8	55.1	68.3
82.8	55.1	68.3
82.8	55.1	68.3
82.8	55.1	68.3
82.8	55.1	68.3
82.8	55.1	68.3
82.8	55.1	68.3
82.8	55.1	68.3
82.8	55.1	68.3
82.8	55.1	68.3
84	55.1	68.3
84	55.1	68.3
84.1	55.1	68.3
84.1	55.1	68.3
84.1	55.1	68.3
84.1	55.1	68.3
84.1	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	68.3
84.2	55.1	69.2
84.2	55.1	69.2
84.2	55.1	71.2
84.2	55.1	71.8
84.2	55.1	71.9
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.4
84.2	55.1	72.6
84.2	55.1	72.6
84.2	55.1	72.8
84.2	55.1	72.8
84.2	55.1	72.8
84.2	55.1	72.8
84.2	55.1	72.8
84.2	55.1	72.8
84.2	55.1	72.8
84.2	55.1	72.8
84.2	55.1	72.8
84.2	55.1	72.8
84.2	55.1	72.8
84.2	55.1	72.8
84.2	55.1	72.8
84.2	55.1	72.8
84.2	55.1	74
84.2	55.1	74.5
84.2	55.1	74.6
84.2	55.1	74.6
84.2	55.1	74.6
84.2	55.1	74.6
84.2	55.1	74.6
84.2	55.1	74.6
84.2	55.1	76.4
84.2	55.1	76.9
84.2	55.1	76.9
84.2	55.1	76.9
84.2	55.1	76.9
84.2	55.1	76.9
84.2	55.1	77
84.2	55.1	77.2
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.3
84.2	55.1	78.7
84.2	55.1	80.2
84.2	55.1	80.2
84.2	55.1	80.2
84.2	55.1	80.2
84.2	55.1	80.2
84.2	55.1	80.2
84.2	55.1	80.2
84.2	55.1	80.2
84.2	55.1	80.2
