Tox	DicerKO.rep1	DicerKO.rep2	DroshaKO.rep1	DroshaKO.rep2	Wildtype.rep1	Wildtype.rep2
22.9	19.647	14.048	332.891	359.645	10.455	10.756
23	6.204	0	3.311	4.395	0.059	0.17
23.1	234.73	70.239	35167.77	34908.847	541.505	436.116
23.2	2.068	4.683	30.099	22.778	0.297	0.793
23.3	74.451	50.34	10112.823	9720.034	468.604	409.224
23.4	8.272	3.512	3.612	3.996	29.351	31.47
23.5	36.191	49.168	85.783	98.304	218.173	204.836
23.6	77.554	43.316	75.248	71.93	747.8	624.303
23.7	14.476	10.536	3.01	1.598	16.398	15.849
23.8	208.877	167.404	300.39	314.09	9.679	8.946
23.9	24.817	21.071	34.615	31.967	1.545	1.076
24	82.724	66.729	91.501	97.104	12.357	12.509
24.2	14.476	11.707	14.749	16.783	1.128	1.642
24.3	53.769	40.975	177.284	307.702	8.553	8.151
24.4	62.043	63.215	26.488	33.568	50.502	54.96
24.5	385.705	311.39	235.672	235.769	26.381	25.755
24.6	6.204	4.683	21.069	24.775	4.039	3
24.7	4.136	2.341	0.903	1.998	0.416	0.170
24.8	0	0	0	0	6.120	5.377
25	101.337	93.65	92.404	99.102	3.503	3.85
25.1	12.408	23.413	65.317	63.936	13.307	14.83
25.3	9.306	12.877	0.602	0.799	2.555	3.679
25.4	198.537	189.644	366.906	449.157	3046.875	2974.932
25.5	8.272	2.342	17.458	11.988	1.188	0.963
25.7	1.034	3.512	19.264	20.38	1.664	1.019
25.8	1405.292	256.374	179718.835	156913.19	487.129	369.172
25.9	17.578	21.072	18.662	10.389	0.95	0.623
26	4.136	1.171	19.565	15.983	3.565	4.811
26.1	4.136	1.171	0	1.998	0	0
26.2	13131.596	12980.086	127.619	96.706	36510.519	35495.423
26.3	24.817	22.243	15.652	22.777	0.593	0.453
26.4	391.911	321.926	307.911	290.513	30.656	26.093
26.6	20.68	23.415	24.682	27.572	1.426	1.812
26.7	1.034	0	0	0	12.655	11.999
26.8	3.102	5.854	103.841	78.323	83.12	81.562
26.9	47.567	46.826	65.315	67.933	3.981	2.829
27	42.395	66.727	18.662	18.782	0.653	1.36
27.2	332.97	262.225	468.637	419.188	316.8	275.08
27.3	9.306	28.096	1.806	7.593	0.178	0.396
27.6	9.306	7.024	14.447	19.981	114.968	96.731
27.7	4.136	5.853	2.107	0	0.178	0.057
27.8	68.248	59.702	89.092	71.129	10.932	13.188
28	24.817	22.242	97.22	87.913	19.367	19.359
28.2	12808.966	11793.047	6959.098	6398.901	366.287	335.76
28.3	3.102	4.682	29.496	23.576	14.498	15.962
28.5	21.714	19.902	374.129	368.436	12.95	13.755
28.7	14.476	14.047	23.779	27.971	1.07	1.077
28.8	5.17	3.512	3.311	2.398	0.297	0.113
28.9	1.034	2.341	21.37	16.783	0.356	0.453
29	4.136	0	20.167	19.979	17.944	15.169
29.1	57.904	42.145	117.987	111.491	1614.494	1368.606
29.2	22.749	31.608	15.049	25.975	351.68	322.681
29.3	46.533	50.338	20.468	16.383	17.231	16.358
29.4	17.579	28.095	16.254	27.173	10.516	8.094
29.5	4.136	2.342	7.525	20.38	0.178	0.114
29.6	0	0	6.923	3.596	0.238	0.283
29.8	0	0	7.525	10.39	0.297	0.114
29.9	112.713	99.505	35.818	29.97	18.715	19.188
3.3	21.715	14.047	10.234	12.387	1.129	0.792
30	0	0	5.719	4.795	0	0.226
30.1	222.323	186.134	130.931	140.26	39.035	37.924
30.2	108.575	118.236	135.446	148.653	22.753	27.508
30.3	7502.142	6816.647	4795.011	4735.742	553.69	520.161
30.4	36.191	50.338	37.925	44.755	16.994	16.132
30.5	0	0	2.107	3.996	0.059	0.057
30.6	4946.959	4682.577	5658.545	5808.282	102.893	93.794
30.7	173.722	176.766	182.7	168.233	28.639	19.131
30.8	2.068	8.194	3.913	5.195	0.356	0.849
30.9	26.885	21.071	336.201	297.306	4.515	3.963
31	8812.302	8751.721	6495.878	6248.244	253.162	236.476
31.1	12.408	17.561	31.003	39.561	9.864	11.943
31.3	26.884	26.924	71.637	91.907	31.785	29.999
31.5	62.043	71.407	17.157	9.191	1.129	1.132
31.6	22.749	46.825	10.535	19.181	1.307	1.19
31.7	366.059	328.953	181.497	196.606	6.591	7.246
