Tox	DicerKO.rep1	DicerKO.rep2	DroshaKO.rep1	DroshaKO.rep2	Wildtype.rep1	Wildtype.rep2
62.6	14.477	23.413	4.214	3.197	0.178	0.227
62.7	54.804	65.556	62.606	77.924	2.91	2.547
62.8	25.851	18.731	11.137	17.982	2.673	2.037
62.9	274.024	237.642	195.644	193.01	6712.217	7885.153
63	963.745	2026.383	737.72	1330.291	20.439	37.754
63.1	579.073	420.262	162.535	136.267	48828.164	54155.254
63.2	254.378	78.435	64.111	78.722	30.004	26.772
63.3	23.784	21.072	25.584	23.976	1.544	1.019
63.4	33.089	32.778	9.03	6.394	13.664	13.416
63.5	404.312	375.783	1654.833	1605.62	51.087	50.319
63.6	51.701	16.39	40.936	63.138	472.352	414.43
63.7	5.17	17.561	30.1	25.175	4.634	3.453
63.8	139.595	134.626	312.731	274.127	10.398	9.396
63.9	348.477	275.104	597.765	698.112	65.89	56.428
64	24.818	16.389	35.818	36.764	0.832	1.359
64.1	95.132	88.967	86.386	91.511	413.705	401.863
64.2	40.329	14.048	9.933	2.797	10.576	7.075
64.3	9.306	8.195	8.428	15.185	23.885	27.904
64.4	148.901	217.743	71.939	129.073	73.077	69.847
64.5	120.985	149.842	85.483	121.88	3.444	3.569
64.6	31.021	46.825	143.57	151.051	6.771	6.111
64.7	178.891	182.62	66.519	104.297	4.277	3.001
64.8	67.211	93.653	71.035	66.734	28.161	27.96
64.9	591.486	358.216	2336.25	2156.677	34.46	24.169
65	2143.607	2749.835	414.465	571.839	70.584	66.51
65.1	13.443	18.73	20.167	22.777	30.718	30.282
65.2	826.215	689.514	597.761	685.323	1132.276	1235.992
65.3	11386.075	11404.398	9914.493	10299.461	276.32	290.546
65.4	13.442	16.388	65.916	41.56	2.318	2.377
65.5	3625.427	3737.86	2401.573	2729.713	668.535	605.234
65.6	647.321	352.364	283.533	247.358	28114.828	28701.582
65.7	374.331	398.018	207.083	211.793	90.783	88.357
65.8	67.215	57.362	90.599	85.118	23.766	32.489
65.9	707.302	554.883	208.286	294.512	49.014	47.152
66	54.805	210.716	463.518	706.504	3.206	6.85
66.1	34.123	38.631	12.04	10.39	28.518	32.998
66.2	292.633	324.267	490.01	433.574	44.203	46.3
66.3	402.247	341.828	270.589	272.132	314.484	330.605
66.4	208.878	173.257	3356.299	3044.603	439.791	390.491
66.5	88.929	114.723	158.923	153.843	9.921	8.83
66.6	64.111	47.997	65.316	457.548	26.261	22.473
66.7	235.763	436.652	180.295	262.14	8.376	11.887
66.8	16.545	36.291	28.294	30.77	6.416	4.756
66.9	550.119	532.645	148.992	124.681	26663.191	26250.035
67	14.477	32.778	21.973	27.572	36.182	41.772
67.1	385.701	389.824	189.323	218.186	30.181	31.187
67.2	223.356	154.526	44.546	23.177	6725.882	6342.842
67.3	365.025	374.606	101.735	138.266	1930.285	2053.305
67.4	94.095	74.922	86.685	98.305	189.415	201.725
67.5	6301.593	3765.957	25.585	31.568	102.253	117.164
67.6	18513.891	18023.209	17622.738	17850.83	3310.894	3717.897
67.7	411.55	258.713	160.727	133.472	13103.472	12402.287
67.8	68.245	69.069	276.304	248.953	39.628	36.341
67.9	160.275	153.355	180.294	181.82	546.797	583.27
68	1095.07	988.03	184.508	135.472	13940.335	15934.509
68.1	8840.22	9138.035	8596.466	8608.329	855.568	855.005
68.2	751.764	634.485	487.601	424.781	27.326	17.493
68.3	1718.613	842.873	592.644	315.295	88759.411	80103.328
68.4	12.408	17.56	54.479	50.35	0.297	0.396
68.5	48.599	40.973	34.615	31.968	22.637	23.604
68.6	45.498	21.072	34.012	18.781	2.436	1.302
68.7	137.528	120.576	127.62	144.659	29.826	28.527
68.8	100.303	88.969	80.666	85.514	34.281	26.718
68.9	1176.763	1940.922	578.196	758.854	13.901	19.191
69	187.164	211.888	312.426	292.113	23.29	25.414
69.1	25.85	29.267	105.046	102.699	82.527	70.468
69.2	312.284	275.105	184.509	172.231	1562.684	1606.556
69.3	9.306	21.072	70.13	51.15	1.129	0.623
69.4	160.278	100.674	89.093	93.908	11.466	7.134
69.5	45.497	45.655	26.789	28.772	2.911	3.397
69.6	3403.105	3447.545	1725.556	1808.614	212.344	193.129
69.7	71.349	40.972	55.683	46.354	5.524	2.434
69.8	308.149	297.343	1512.462	1671.555	184.724	187.802
69.9	39.292	50.339	322.059	311.293	52.165	46.924
7.1	0	0	22.574	18.781	0.713	0.793
7.2	61.01	73.751	96.919	109.492	24.479	23.377
7.3	16.545	18.731	498.434	446.357	41.944	34.073
7.4	55.837	43.314	678.127	672.539	50.144	42.563
7.5	2.068	1.171	0	0	10.932	9.225
7.8	0	0	4.515	3.996	8.675	5.716
70	321.59	303.197	233.569	230.172	206.469	170.256
70.1	141.664	135.796	124.913	143.859	37.013	40.018
70.2	77.552	84.287	60.802	73.127	30.896	29.377
70.3	178.891	156.865	351.554	322.883	38.676	36.565
70.4	16.544	23.412	33.712	35.164	8.971	8.037
70.5	450.848	511.572	1138.638	1351.865	79.374	82.924
70.6	173.722	179.108	58.695	101.9	1.125	1.247
70.7	77.552	76.094	41.839	46.75	199.576	197.31
70.8	62959.107	62405.763	20977.206	19983.935	647.383	657.314
70.9	8.272	14.047	14.749	16.783	0.296	0.114
71	102.372	115.894	127.92	123.48	4.159	5.207
71.1	14.476	16.389	14.448	31.169	18.002	19.302
71.2	654.558	640.345	396.103	368.836	816.603	905.953
71.3	40.327	55.022	36.722	31.568	4.159	3.171
71.4	427.064	441.336	245.607	270.533	36.239	36.111
71.5	355.717	313.731	76.153	72.729	49.312	47.774
71.6	119.951	133.454	125.513	150.652	37.133	28.358
71.7	56.871	58.532	116.484	131.47	8.911	8.548
71.8	271.958	228.278	274.5	282.123	919.335	906.121
71.9	57.905	50.338	23.779	23.577	678.344	614.513
72	31.022	30.436	20.468	19.581	0.297	0.397
72.1	16.544	15.218	41.839	43.157	7.664	7.188
72.2	168.548	122.921	2431.973	2288.545	81.275	66.169
72.3	160.276	126.433	21219.798	23455.717	592.899	575.574
72.4	4192.095	3891.217	2157.473	1950.093	70463.803	74210.118
72.5	298.842	275.101	32.207	20.779	132.079	139.292
72.6	1447.685	1377.855	1468.516	1544.087	1998.077	2116.019
72.7	69.28	124.09	65.617	98.303	91.439	87.846
72.8	604.924	580.641	521.313	410.398	13178.03	13422.685
72.9	71.349	63.215	85.782	80.321	374.135	332.415
73	1915.073	1896.441	1650.019	1704.717	228.086	195.565
73.1	17.578	29.268	7.826	5.195	10.991	9.114
73.2	2.068	9.365	6.321	0.8	4.159	4.358
73.3	1356.69	1403.599	211.897	244.157	35.229	39.512
73.4	18.612	12.879	179.391	178.226	21.921	20.207
73.5	56.873	55.02	38.527	33.966	5.347	3.396
73.6	2.068	0	77.958	62.338	7.069	8.208
73.7	1348.41	4336.055	1239.763	1237.582	281.803	277.855
73.8	42.396	33.949	18.06	23.976	38.026	48.733
73.9	351.579	272.76	123.104	123.478	39.27	41.429
74	144.767	107.701	40.334	23.578	788.502	710
74.1	90.996	83.114	32.508	39.162	2.79	3.511
74.2	34.123	26.925	19.264	24.375	25.488	24.848
74.3	12.408	11.706	259.151	223.382	47.709	42.678
74.4	3.102	7.024	20.166	21.18	57.039	66.733
74.5	511.854	630.982	1879.36	1748.281	849.275	827.733
74.6	10459.567	10954.866	446.37	303.706	5825.676	5549.533
74.7	107.539	122.918	79.161	70.332	314.187	345.49
74.8	368.121	376.949	654.047	670.934	64.343	66
74.9	43.428	50.337	396.706	343.661	8.846	9.286
75	83.757	88.969	56.286	56.344	6.237	5.946
75.1	283.332	343.001	170.059	226.176	45.035	43.526
75.2	150.969	143.991	309.117	321.28	28.813	22.583
75.3	118.915	108.869	79.763	73.129	97.617	87.392
75.4	237.832	177.939	473.453	433.974	14.613	13.361
75.5	86.86	74.922	46.655	79.121	21.209	23.49
75.6	14.476	21.072	30.4	27.172	15.209	14.093
75.7	67.212	45.656	52.072	57.143	2.492	1.643
75.8	23.784	12.877	17.457	11.189	0.594	0.396
75.9	685.583	810.085	335.904	407.199	241.044	219.957
76	114.78	99.505	78.859	69.533	19.488	19.133
76.1	86.859	121.75	49.063	45.555	221.02	222.33
76.2	87.893	95.995	225.14	223.78	37.129	37.644
76.3	48.6	43.314	29.197	25.174	3.743	2.378
76.4	6188.869	5737.318	5218.809	5842.639	841.901	836.112
76.5	66.177	60.874	35.217	122.681	3.386	3.51
76.6	3207.66	3102.209	3193.171	3078.172	113.056	99.112
76.7	11.374	9.365	7.826	1.199	6.595	7.414
76.8	19.646	32.78	28.896	29.571	33.509	37.978
76.9	436.373	364.072	5292.237	5781.911	4979.894	4903.659
77	105.473	66.728	40.032	21.58	773.945	760.828
77.1	111.676	108.868	29.197	47.154	130	154.918
77.2	800.363	640.343	297.978	263.741	1317.06	1198.577
77.3	78.587	74.921	335.603	333.271	103.737	92.2
77.4	327.794	382.8	217.313	216.188	130.474	125.257
77.5	102.37	81.947	45.149	43.958	1.841	2.66
77.6	37.225	38.632	11.739	17.583	7.665	6.793
77.7	481.873	708.239	242.295	314.09	4.812	6.907
77.8	563.564	520.936	1318.32	1353.866	29.229	23.49
77.9	3.102	3.512	0.903	0.799	4.516	4.811
78	70.312	67.9	65.617	57.544	32.204	33.452
78.1	107.539	121.75	1049.24	860.751	38.617	31.871
78.2	138.563	174.427	38.828	50.35	159.053	177.727
78.3	5177.563	5298.331	42.741	41.961	28548.623	27161.932
78.4	1352.553	1951.462	438.541	531.878	309.903	350.358
78.5	1711.376	1513.643	825.307	871.54	134.689	144.167
78.6	1200.547	1285.366	520.711	543.067	83.476	82.129
78.7	140.633	104.189	40.634	18.782	815.593	602.628
78.8	536.675	451.868	318.445	319.687	85.615	83.938
78.9	56.872	59.704	319.65	126.676	4.156	4.188
79	119.952	98.333	132.436	120.282	18.536	17.037
79.1	22.748	22.242	14.147	19.98	2.614	1.415
79.2	35.157	37.461	36.12	35.965	298.146	307.794
79.3	178.891	229.447	685.349	363.242	54.124	53.266
79.4	122.018	133.453	332.59	316.089	96.728	92.259
79.5	3514.778	3117.424	4556.936	4259.41	91.135	86.436
79.6	278.161	216.572	153.204	139.064	425.353	434.808
79.7	2.068	4.683	1.505	0	0.059	0
79.8	71.349	92.482	39.13	52.748	11.585	13.131
79.9	269.886	271.586	533.954	530.28	164.636	141.959
8.2	100.302	94.822	35.216	41.159	52.939	41.376
8.3	0	0	7.224	8.392	0.534	0.849
8.4	0	0	0	0.4	31.49	27.168
8.5	13.442	14.048	35.517	41.559	2.02	2.265
80	56.87	57.363	40.635	35.166	32.678	31.074
80.1	105.47	113.556	97.824	110.691	15.86	19.079
80.2	1216.048	683.663	300.689	165.042	27562.738	24545.67
80.3	28783.211	29517.755	15276.249	15854.396	583.79	556.057
80.4	87.893	88.973	315.438	336.87	19.607	17.489
80.5	203.708	158.038	79.463	69.13	3596.772	3266.088
80.6	281.261	259.884	292.862	312.888	215.26	217.915
80.7	63.075	60.874	33.11	38.361	0.593	0.849
80.8	101.337	110.04	152.601	172.63	6.891	8.04
80.9	202.675	207.204	78.258	79.121	57.751	92.316
81	133.392	138.136	87.59	71.929	17.528	18.17
81.1	1778.59	1958.486	211.297	206.998	635.622	794.85
81.2	2599.634	2488.783	1119.679	1233.586	155.004	151.245
81.3	25723.405	24654.9	12419.887	12681.522	548.562	532.227
81.4	1398.054	453.041	527.027	239.766	23420.299	23254.333
81.5	469.464	1066.456	304.9	547.462	46.4	50.318
81.6	218.186	197.842	142.671	156.646	27.684	32.208
81.7	6224.023	6223.145	6362.559	6134.362	274.424	262.295
81.8	85.825	92.481	97.22	114.29	5.464	5.154
81.9	379.499	353.537	241.396	737.276	61.968	51.514
82	606.995	663.755	89.997	101.1	557.673	715.884
82.1	225.424	238.809	148.99	159.444	10.992	7.302
82.2	140.63	131.111	97.822	68.331	4.455	4.697
82.3	100.3	90.137	71.938	81.917	7.839	7.359
82.4	17.579	17.56	38.828	35.965	1.841	2.321
82.5	795.191	906.076	405.736	390.812	2116.489	2321.425
82.6	2341.114	2342.452	188.723	184.622	11410.488	11854.114
82.7	2578.948	2322.554	1677.104	1619.203	107.355	105.452
82.8	2641.002	3357.402	43.644	45.156	4200.429	5193.68
82.9	87.894	72.582	165.245	159.044	36.598	39.621
83	186.129	165.063	79.16	81.92	37.311	39.169
83.1	707.299	741.015	447.87	494.713	667.828	578.802
83.2	51.702	64.387	73.742	93.507	60.779	75.506
83.3	131.327	189.644	82.472	97.104	147.051	170.767
83.4	9.306	10.536	2.408	7.992	160.302	184.122
83.5	127.186	115.896	264.272	254.549	214.311	196.858
83.6	148.903	149.843	58.694	53.946	79.08	83.942
83.7	96.168	63.214	93.91	80.72	21.449	26.147
83.8	1.034	1.171	18.361	37.564	0.475	0.396
83.9	63.076	47.998	39.431	50.35	16.161	16.302
84	573.904	422.603	158.322	149.053	47.592	43.981
84.1	954.433	941.201	74.946	88.315	1788.995	1679.685
84.2	102585.554	111881.796	816.879	549.863	192452.099	204147.691
84.3	61.009	42.145	56.285	61.54	68.802	85.637
84.4	1971.965	2258.17	1019.139	1198.82	30.716	29.323
84.5	183.027	161.55	69.83	60.74	255.068	303.832
84.6	608.024	627.464	241.998	266.136	78.901	84.504
84.7	405.349	437.82	127.32	150.651	15.147	14.945
84.8	92.03	67.9	25.585	26.376	1147.963	1154.429
84.9	975.112	944.711	2445.824	2598.239	83.353	74.319
85	145.799	118.233	131.835	148.254	101.715	94.979
85.1	98.234	90.14	11.137	8.392	137.604	136.068
85.2	34.123	45.655	49.965	46.754	4.338	4.189
85.3	343.307	339.486	2069.88	2227.406	3437.472	3130.074
85.4	1591.421	1851.954	429.511	462.348	36.002	25.248
85.5	110.642	152.184	40.935	47.953	28.042	35.208
85.6	118.915	112.381	210.693	201.8	13.427	13.981
85.7	69.28	45.657	139.96	136.668	207.361	234.668
85.8	1205.714	1203.422	990.85	686.122	396.116	390.72
85.9	59.975	58.532	59.595	51.149	325.359	316.397
86	16768.397	13892.016	20566.668	22988.579	955.855	935.047
86.1	20.68	16.389	18.963	21.177	0.296	0.623
86.2	127.188	104.189	52.673	61.938	178.066	188.479
86.3	218.185	244.666	134.843	167.033	9.919	7.642
86.4	216.118	258.712	34.915	32.767	4657.809	4832.338
86.5	211.982	232.957	556.226	525.083	269.505	246.162
86.6	37050.568	31583.929	18087.754	19231.07	1310.036	1258.91
86.7	77.554	87.8	280.823	251.352	13.485	11.829
86.8	1096.095	4014.126	90.599	89.914	9.563	7.982
86.9	24.817	33.949	24.079	21.18	579.774	471.598
87	83.758	71.412	121.298	129.873	40.342	38.377
87.1	475.667	470.6	725.68	764.847	5.167	4.134
87.2	97.2	120.576	77.054	85.916	546.562	782.167
87.3	287.461	324.27	292.562	340.065	66.541	73.301
87.4	206.809	152.187	68.326	39.162	258.457	314.927
87.5	624.572	902.567	307.611	390.016	229.222	286.177
87.6	63.076	62.046	16.856	18.783	1296.622	1400.752
87.7	279.194	279.783	187.215	157.046	50.144	48.618
87.8	65.143	66.727	119.493	127.474	72.722	68.714
87.9	71.348	103.018	59.296	74.727	1780.801	2255.762
88	67.213	72.58	74.646	97.105	5.107	4.81
88.1	768.309	585.32	395.8	400.804	26.557	24.169
88.2	447.747	427.286	183.304	195.009	220.429	296.021
88.3	72.381	53.851	73.142	77.523	19.844	22.98
88.4	17.578	12.878	10.234	11.19	689.155	599.23
88.5	58.941	58.532	35.217	34.764	3.683	2.831
88.6	4.136	7.024	1.505	7.592	14.022	14.773
88.7	275.057	257.542	458.407	429.978	793.551	803.96
88.8	765.204	623.957	440.047	296.908	4446.413	4635.654
88.9	3.102	4.683	0	0	0	0.057
89	98.235	78.431	5904.741	6190.311	1590.139	1621.44
89.1	390.874	382.803	338.914	348.058	38.734	39.846
89.2	0	0	0	0	8.615	7.981
89.3	21.714	46.825	24.08	33.167	10.04	8.433
89.4	252.308	270.421	1201.238	1212.007	59.177	67.814
89.5	0	1.171	0.301	0	143.429	172.462
89.6	71.35	84.286	556.526	871.944	11.287	16.472
89.7	84.792	71.411	338.912	149.051	6.119	6.509
89.8	5024.514	2958.217	2275.762	1041.377	45615.035	44012.015
89.9	28.952	44.485	88.49	54.745	1.306	1.018
9	229.561	238.81	107.153	114.687	3.802	2.831
9.1	29.987	25.756	268.484	276.924	16.158	15.056
9.2	9.306	9.366	186.61	157.046	13.727	10.017
9.3	10.34	4.683	1190.4	1212.406	100.769	96.334
9.6	48.6	42.144	601.674	584.624	32.262	28.925
9.7	4.136	2.342	37.022	35.966	16.815	14.321
9.9	108.575	73.748	118.29	159.444	23.706	20.376
90	33.088	45.656	19.866	22.78	196.841	177.444
90.1	816.905	3516.608	20.769	17.183	81.159	71.317
90.2	1095.072	661.415	203.769	105.499	5819.971	5828.4
90.3	195.438	155.696	19.565	34.366	14.852	11.379
90.4	9.306	16.389	2.408	10.39	0.416	0.227
90.5	141.665	138.136	80.065	84.314	4.81	4.472
90.6	164.417	134.626	114.075	100.701	9.447	8.49
90.7	396.042	331.293	111.97	116.686	57.689	62.605
90.8	0	0	0	0	5.050	5.207
90.9	148.901	128.772	198.05	212.993	799.55	879.861
91	40.328	35.12	2.107	2.797	3.267	3.34
91.1	282.296	199.012	58.092	60.742	25749.739	24945.958
91.2	51.702	53.85	22.575	20.38	0.355	0.567
91.3	21.714	21.071	24.682	26.375	2.376	1.472
91.4	294.706	325.441	302.792	311.292	8.435	8.831
91.5	191.3	223.595	129.425	150.251	31.371	28.868
91.6	81.688	134.623	31.604	27.973	244.314	265.457
91.7	33.09	36.289	5.418	6.793	17.35	17.658
91.8	8.272	12.877	18.06	15.185	13.962	16.075
91.9	16.544	26.925	6.02	7.193	124.058	135.898
92	57.907	86.628	0	0	0	0
92.1	17.578	12.878	17.458	21.179	180.147	170.877
92.3	0	2.341	1.505	1.998	0.238	0.113
92.4	8.272	5.854	4.816	5.993	0.297	0.114
92.5	29.986	22.244	6.622	8.391	24.301	30.34
92.6	18.613	17.56	5.117	4.395	4.575	4.132
92.7	22.749	23.414	17.758	19.58	2.019	1.64
92.8	44.463	38.632	24.38	42.358	7.071	5.491
92.9	291.605	342.999	152.001	149.054	137.666	172.066
93	62.044	65.555	8.428	22.378	0.772	0.793
93.1	11.374	19.902	15.351	15.985	1.247	1.132
93.2	167.517	190.814	124.61	123.078	10.396	10.416
93.3	59.973	72.581	763.908	760.452	50.677	51.621
93.4	76.519	73.749	27.692	36.363	1.069	0.965
93.5	42.396	40.972	8.729	8.392	4.93	7.867
93.6	89.963	72.58	99.928	99.504	117.227	111.107
93.7	5.17	3.513	4.816	6.394	0.118	0.113
93.8	372.258	405.048	2009.995	1525.695	106.049	96.455
93.9	595.619	573.616	926.434	969.844	587.376	524.632
94	77.552	69.066	19.866	25.177	286.204	297.323
94.1	3.102	2.341	9.331	9.59	117.642	119.314
94.2	89.96	196.666	52.976	98.303	20.735	27.283
94.3	310.216	225.934	338.31	323.682	24.539	18.566
94.4	1592.457	1581.539	1023.958	983.031	22.455	21.851
94.5	1.034	7.024	0.903	0.799	0.059	0
94.6	38.259	51.508	70.432	59.141	1.187	1.471
94.7	6.204	12.877	8.428	12.387	0.297	0.114
94.8	44.463	44.485	12.341	8.791	36.539	33.339
94.9	176.825	180.278	1.505	2.398	0.475	0.623
95	57.906	53.85	16.555	16.383	138.141	141.669
95.1	28.953	43.314	10.234	6.393	258.634	240.44
95.2	18.613	17.56	3.311	3.196	33.333	42.167
95.3	35.158	28.096	20.166	29.171	1.9	1.924
95.5	88.93	76.093	8.127	9.592	522.379	624.76
95.6	115.812	161.547	143.271	134.668	6.236	6.965
95.7	2.068	8.195	8.127	7.193	0.059	0.113
95.8	228.525	266.906	134.243	173.03	93.04	104.937
95.9	192.336	187.303	0	0	0.594	0.453
96.1	0	1.171	0	0	20.736	18.961
96.2	18.612	18.73	20.167	17.583	2.732	4.981
96.3	2.068	7.024	0.903	1.199	16.874	15.734
96.5	15.51	25.756	24.983	23.177	4.276	3.17
96.7	92.029	100.677	34.013	28.771	1.544	2.209
96.8	10.34	18.731	6.923	10.39	1.545	1.302
96.9	158.211	53.849	96.316	121.479	11.763	13.019
97	428.102	357.044	182.398	212.988	15.387	10.753
97.1	20.68	21.071	4.214	4.396	1.011	1.416
97.2	2.068	3.512	0.903	1.199	20.974	23.432
97.3	13.442	120.574	0	0	22.34	16.754
97.4	43.429	71.41	80.064	89.112	11.822	11.378
97.5	17.578	25.754	14.448	21.18	775.013	569.517
97.6	5.170	2.341	3.612	3.197	0.594	0.226
97.8	40.329	30.436	5.117	12.788	0.118	0.113
97.9	8.272	5.854	6.923	3.597	20.796	31.867
98	15.511	5.853	2.709	2.398	262.498	261.495
98.2	2.068	3.512	44.246	45.155	16.041	15.225
98.3	753.833	538.496	295.569	168.634	3198.805	2872.991
98.5	0	2.341	7.224	1.598	0.238	0
98.6	4.136	8.194	5.117	8.791	8.14	7.471
98.7	10.34	5.854	0.301	0.4	41.71	41.319
99	20.68	31.609	12.642	13.187	0.355	0.791
99.1	0	1.171	0	0.4	46.523	58.525
99.2	23.783	18.73	9.03	6.793	0.95	0.341
99.3	1.034	4.683	28.595	24.376	0.355	0.568
99.9	13.442	12.878	195.342	193.81	16.575	12.169
